,title,year,kind,rating,vote,runtime
4909,Vaada,2005,movie,5.6,850.0,122
4910,Sakura Wars: The Movie,2001,movie,5.5,288.0,80
4911,Urusei Yatsura 3: Remember My Love,1985,movie,6.6,315.0,93
4912,Breast Men,1997,tv movie,5.8,4544.0,95
4913,The Doobie Brothers: Rockin' Down the Highway - The Wildlife Concert,1996,movie,8.0,40.0,110
4914,Legend of Lemnear,1989,video movie,5.3,230.0,45
4915,The Absent Minded Professor,1961,movie,6.8,7930.0,92
4916,Neil Young in Berlin,1983,video movie,8.0,128.0,60
4917,Prodigal Son,2019,tv series,7.7,17535.0,44
4918,Doctor Who Infinity: The Dalek Invasion of Time,2018,video game,8.5,6.0,0
4919,Youth of the Beast,1963,movie,7.4,3434.0,92
4920,Balto: Wolf Quest,2002,video movie,6.1,4658.0,76
4921,Guns N' Roses: Use Your Illusion I,1992,video movie,8.5,634.0,90
4922,Baadshah,1999,movie,6.9,17682.0,175
4923,Macross Plus,1994,tv mini series,7.9,3649.0,115
4924,Berkeley in the Sixties,1990,movie,7.5,724.0,117
4925,Chasing Destiny,2001,tv movie,5.4,265.0,94
4926,The Raven in the Foregate,1996,episode,8.1,147.0,76
4927,Street Fighter II: The Animated Movie,1994,movie,7.2,8564.0,102
4928,Ancient Egyptians,2003,tv series,8.0,132.0,50
4929,Return to Paradise,1998,movie,6.9,14257.0,111
4930,The World of Narue,2003,tv series,7.2,101.0,0
4932,Hardware Wars,1978,movie,6.9,1882.0,13
4933,The Twilight Zone,1959,tv series,9.0,75772.0,51
4934,Amar Akbar Anthony,1977,movie,7.5,7491.0,184
4935,Lynyrd Skynyrd: Lyve from Steel Town,1997,movie,8.3,46.0,97
4936,Degree of Guilt,1995,tv movie,6.1,181.0,180
4937,Shameless Season 3: An Officer and a Gallagher,2013,video movie,,,0
4938,National Lampoon's Senior Trip,1995,movie,5.7,5753.0,91
4939,Spongebob Squarepants: Tales from the Deep,2004,video movie,,,0
4940,Arena: An Absurd Notion,1985,video movie,7.2,197.0,58
4941,Wild Things 2,2004,video movie,4.5,7083.0,95
4942,Unforgivable Blackness: The Rise and Fall of Jack Johnson,2004,movie,8.3,1489.0,214
4943,Such a Long Journey,1998,movie,7.1,472.0,113
4944,The Dead Sea Scrolls,2006,episode,,,0
4945,Chatroom,2010,movie,5.5,9046.0,97
4946,Battle of the X-Planes,2003,episode,8.3,56.0,116
4947,Batman & Mr. Freeze: SubZero,1998,video movie,7.2,15041.0,70
4948,Restless Souls,1998,video movie,4.2,160.0,86
4949,Return to Snowy River,1988,movie,6.6,2453.0,110
4950,Battlestar Galacticast,2007,episode,,,0
4951,Dancers in Mourning: Part 2,1990,episode,7.5,49.0,55
4952,Scary Godparents,2002,episode,7.8,155.0,24
4953,The Magic School Bus,1994,tv series,7.8,8987.0,30
4954,Dirty Filthy Love,2004,tv movie,7.2,1350.0,120
4955,The Curse of the Komodo,2004,movie,2.9,1543.0,92
4956,MTV Unplugged: Ballads,2000,video movie,4.0,29.0,40
4957,Lola and Billy the Kid,1999,movie,6.7,1319.0,93
4958,Discovering Dance on Film,2019,episode,,,0
4959,The Buried Secret of M. Night Shyamalan,2004,tv movie,4.9,865.0,125
4960,Michael W. Smith - Live in Concert: A 20 Year Celebration,2004,video movie,,,100
4961,Thralls,2005,video movie,3.9,698.0,95
4962,America's Most Haunted Inns,2004,video movie,4.2,39.0,59
4963,The Fifth Element,1997,movie,7.7,448759.0,126
4964,Hades Project Zeorymer,1988,tv mini series,6.2,85.0,30
4965,Untitled Murder Mystery,2022,movie,,,0
4966,Star Wars: Episode I - The Phantom Menace,1999,movie,6.5,755563.0,136
4967,Moon 44,1990,movie,5.1,5050.0,98
4968,"Paranormal Activity 3, the Three Musketeers and Margin Call",2011,episode,,,0
4969,Lynyrd Skynyrd Lyve: The Vicious Cycle Tour,2003,video movie,8.4,52.0,0
4970,Silent Mobius - Case: Titanic,1998,video game,,,0
4971,Babel II: Perfect Collection,1992,tv mini series,6.4,76.0,30
4972,Wild Australia: The Edge,1996,movie,7.1,58.0,37
4973,Wolfhound,2006,movie,5.7,3990.0,136
4974,Sometimes in April,2005,tv movie,7.8,5349.0,140
4975,Friends Gag Reel: Season 9,2005,video movie,8.7,146.0,7
4976,We'll Meet Again,1982,tv mini series,7.2,167.0,60
4977,Wishmaster 4: The Prophecy Fulfilled,2002,video movie,4.0,3637.0,90
4978,The Animatrix,2003,video movie,7.4,73386.0,100
4979,Tell Them Who You Are,2004,movie,7.0,530.0,95
4980,The Story of Marie and Julien,2003,movie,6.9,1777.0,150
4981,The Dentist 2,1998,movie,4.7,3701.0,100
4982,"Dusty Springfield, Anthony Newley, Samantha Eggar, Richard Attenborough, Stanley Myron Handelman, Leslie Bricusse, Lou Holtz",1968,episode,,,0
4983,Spider-Man Cartoon Maker,1995,video game,7.3,22.0,0
4984,VeggieTales: Minnesota Cuke and the Search for Samson's Hairbrush,2005,video movie,7.1,367.0,43
4985,Tenchi Muyo!,1992,tv series,7.7,2015.0,30
4986,Remembrance of the Daleks: Part Three,1988,episode,8.6,510.0,25
4987,Buffy the Vampire Slayer,1997,tv series,8.2,136749.0,44
4988,Working with Orson Welles,1993,video movie,6.5,29.0,94
4989,Comedy Club Superstars,1996,tv movie,4.8,10.0,0
4990,It Happened Here,1964,movie,6.7,1119.0,93
4991,Knight Moves: 'Knight Rider' Season 1 DVD,2004,video movie,8.0,26.0,6
4992,The Hillz,2004,video movie,2.8,6338.0,91
4993,Common Ground,2000,tv movie,7.3,1018.0,105
4994,Bloodsport: The Dark Kumite,1999,movie,3.0,1151.0,100
4995,Melissa Etheridge: Live... and Alone,2002,movie,6.6,64.0,0
4996,Saturday Night Live: The Best of Will Ferrell,2002,movie,7.9,2581.0,72
4997,American Legends,2001,video movie,7.4,343.0,57
4998,Dangerous Living: Coming Out in the Developing World,2003,movie,7.2,154.0,62
4999,First Strike,1996,movie,6.6,20309.0,107
5000,The Last Don,1997,tv mini series,7.2,2743.0,258
5001,The Science of Magic,2015,movie,7.9,60.0,2
5002,Wes Craven Presents Don't Look Down,2013,episode,,,32
5003,Monty Python Live (Mostly),2014,movie,7.7,2521.0,162
5004,Better Than Chocolate,1999,movie,6.1,8233.0,101
5005,Lizzie McGuire Box Set: Volume One - Bonus Material,2004,video movie,,,0
5006,"Aloha, Scooby-Doo!",2005,video movie,6.4,4019.0,74
5007,Into Thin Air: Death on Everest,1997,tv movie,5.7,1429.0,90
5008,David Bowie: A Reality Tour,2004,video movie,8.2,562.0,148
5009,Rub & Tug,2002,movie,4.8,603.0,90
5010,"Elmo's World: Elmo Has Two! Hands, Ears & Feet",2004,video movie,5.2,13.0,50
5011,Murder on a Sunday Morning,2001,movie,8.0,4213.0,111
5012,Saturday Night Live: The Best of Adam Sandler,1999,movie,7.0,1438.0,73
5013,A Panther in Africa,2004,movie,8.3,32.0,71
5014,The Big O,1999,tv series,7.6,1992.0,0
5015,The Tale of the Frog Prince,1982,episode,7.6,227.0,55
5016,The Girl in the Café,2005,tv movie,7.5,8391.0,94
5017,"Oh, God! You Devil",1984,movie,5.4,2439.0,97
5018,Iron Chef America: The Series,2004,tv series,7.1,1985.0,60
5019,Dizzy Doctors,1937,episode,,,0
5020,Ninja Scroll,1993,movie,7.9,35907.0,94
5021,Two Brothers,2004,movie,7.0,14925.0,109
5022,Sharaabi,1984,movie,7.4,2789.0,180
5023,All My Loved Ones,1999,movie,7.3,527.0,91
5024,Lamb of God: Killadelphia,2005,video movie,8.8,193.0,180
5025,The Shell Seekers,1989,tv movie,6.6,320.0,102
5026,Queen Live at Wembley '86,1986,movie,9.1,2556.0,300
5027,Key West: City of Colors,2004,movie,7.2,32.0,96
5028,The Legend of Zorro,2005,movie,6.0,97031.0,129
5029,Metropolis,1927,movie,8.3,166632.0,153
5030,Tom and Jerry's Greatest Chases,2000,video movie,7.9,631.0,89
5031,Holiday Heart,2000,tv movie,7.5,1232.0,96
5032,"Institute Benjamenta, or This Dream That One Calls Human Life",1995,movie,7.1,1849.0,105
5033,Jaclyn Smith's Best Charlie's Angels Secrets/Queen Learns How to Be an Angel,2015,episode,,,0
5034,Roseanna's Grave,1997,movie,7.2,3356.0,98
5035,The Best O' Bundy: Married with Children's 200th Episode Celebration,1995,movie,7.9,43.0,30
5036,Chris Rock: Never Scared,2004,movie,8.0,5222.0,80
5037,Lady Audley's Secret,2000,tv movie,6.0,224.0,108
5038,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,movie,6.6,30476.0,109
5039,The Backyard,2002,movie,6.6,646.0,80
5040,The Pilgrim of Hate,1998,episode,7.8,136.0,76
5041,The Nameless,1999,movie,5.9,7270.0,102
5042,Gas Food Lodging,1992,movie,6.6,3832.0,101
5043,Oliver!,1968,movie,7.4,36491.0,153
5044,Ultimate Guide: Dolphins,2001,movie,6.8,20.0,45
5046,Clint Eastwood: Director,1982,tv movie,7.7,44.0,30
5047,Terror in a Texas Town,1958,movie,6.8,1963.0,80
5048,Andrew Dice Clay: No Apologies,1993,movie,6.3,186.0,65
5049,Smallville Season 3 Promo,2003,tv short,9.2,58.0,4
5050,Dai-Guard,1999,tv series,7.0,72.0,0
5051,Godzilla the Series: Monster Wars,2000,video game,6.2,6.0,0
5052,Nina's Tragedies,2003,movie,7.1,759.0,106
5053,Flicker,2012,movie,5.7,510.0,100
5054,Perceval,1978,movie,7.0,1311.0,140
5055,Himalaya with Michael Palin,2004,tv mini series,8.3,1132.0,360
5056,Prime Suspect 6: The Last Witness,2003,tv mini series,8.2,2784.0,195
5057,Superman: The Animated Series,1996,tv series,8.1,14776.0,30
5058,Deathbed,2002,video movie,3.4,551.0,80
5059,John Cena: Word Life,2004,video movie,5.9,221.0,53
5060,"Reconstruction: The Second Civil War, Part 1 - Revolution",2004,episode,7.5,40.0,90
5061,Zus & Zo,2001,movie,6.2,1625.0,106
5062,"Dr. Quinn, Medicine Woman",1993,tv series,6.8,10920.0,60
5063,Clerks,2000,tv series,7.4,12256.0,22
5064,Soccer Dog: The Movie,1999,movie,3.1,1714.0,98
5065,Tokyo Eyes,1998,movie,6.7,1379.0,97
5066,Dud,1980,tv movie,,,95
5067,Three Amigos!,1986,movie,6.5,71368.0,104
5068,The Young Master,1980,movie,7.1,7014.0,105
5069,Balzac: A Passionate Life,1999,tv movie,6.7,612.0,240
5070,The Sons of Katie Elder,1965,movie,7.2,16691.0,122
5071,The Wiggles: Whoo Hoo! Wiggly Gremlins!,2003,video movie,5.7,27.0,53
5072,The Long Ships,1964,movie,6.1,2621.0,126
5073,Chameli,2003,movie,7.0,2181.0,108
5074,Elephant Parts,1981,video movie,7.7,356.0,60
5075,Homicide: Life on the Street,1993,tv series,8.6,12130.0,60
5076,Fathers and Sons,2005,tv movie,6.0,395.0,101
5077,Lost Boys of Sudan,2003,movie,7.4,631.0,87
5078,The White Diamond,2004,movie,7.5,4587.0,88
5079,The Amazing Howard Hughes,1977,tv movie,6.6,567.0,215
5080,Hercules: The Legendary Journeys,1995,tv series,6.5,28719.0,44
5081,Sesame Street: Learning About Numbers,1986,video movie,7.1,38.0,30
5082,Are You Being Served?,1972,tv series,8.0,7604.0,28
5083,Kim Possible: So the Drama,2005,tv movie,7.2,4252.0,71
5084,Star Trek Voyager: Phage - ECMO Won't be the Hot Cleanse of the Season,2019,episode,,,0
5085,X Japan Live at Madison Square Garden,2014,movie,,,0
5086,The Creation of The Universe,2020,episode,,,0
5087,Who Knows?,2001,movie,6.9,2401.0,154
5088,Blues Masters,1999,video movie,6.6,10.0,47
5089,Educating Rita,1983,movie,7.2,13439.0,110
5090,Bushisms,2004,video movie,6.1,76.0,61
5091,Father of the Bride,1991,movie,6.5,72160.0,105
5092,Running Brave,1983,movie,6.7,702.0,106
5093,A Little Snow Fairy Sugar,2001,tv series,7.4,91.0,0
5094,Indian,1996,movie,8.1,11717.0,185
5095,Danger UXB,1979,tv series,8.5,863.0,60
5096,Target of Opportunity,2005,movie,3.9,233.0,88
5097,One Step Beyond,1959,tv series,7.8,1435.0,25
5098,Brides of Christ,1991,tv mini series,8.2,628.0,0
5099,The Pact of Silence,2003,movie,5.7,972.0,95
5100,Wetherby,1985,movie,6.8,1575.0,102
5101,The Man from Elysian Fields,2001,movie,6.6,4213.0,106
5102,Godzilla and Other Movie Monsters,1998,video movie,6.2,71.0,88
5103,The Audrey Hepburn Story,2000,tv movie,6.0,2474.0,133
5104,New Alcatraz,2001,movie,3.3,1696.0,96
5105,Lenny Kravitz: Live from the Riviera Theatre,2008,video movie,,,92
5106,Mambo Italiano,2003,movie,6.7,6523.0,88
5107,Bee Gees: One Night Only,1997,movie,8.7,504.0,111
5108,Visible Secret,2001,movie,5.8,389.0,101
5109,Charlie Chan in the Chinese Cat,1944,movie,6.6,1348.0,66
5110,Greenmail,2002,video movie,4.8,350.0,93
5111,The Floaters: Live in Concert,2008,video movie,,,60
5112,Inside Pink Floyd: A Critical Review 1975-1996,2004,video movie,6.0,33.0,60
5113,Colosseum: A Gladiator's Story,2003,tv movie,7.1,254.0,56
5114,Rudolph and Frosty's Christmas in July,1979,tv movie,6.4,2177.0,97
5115,Carrington,1995,movie,6.8,5335.0,121
5116,Galerians: Rion,2004,video movie,5.5,154.0,73
5117,Vampyres,1974,movie,6.1,3503.0,87
5118,God of Gamblers Part III: Back to Shanghai,1991,movie,6.6,2196.0,116
5119,Attack of the 50 Ft. Woman,1993,tv movie,3.9,2976.0,90
5120,The Avengers,2012,movie,8.0,1307279.0,143
5121,The Kids Are Alright,1979,movie,8.1,3678.0,109
5122,New Dominion Tank Police,1993,tv series,6.9,526.0,30
5123,Pyaasa,1957,movie,8.5,6031.0,146
5124,Sharon Needles: Andy Warhol is Dead,2017,video movie,,,0
5125,Gloria Estefan: Everlasting Gloria,1995,video movie,7.5,38.0,88
5126,Final Destination 3,2006,movie,5.8,135234.0,93
5127,Sorcery and Chips,1999,episode,8.0,16.0,23
5128,Thirteen Conversations About One Thing,2001,movie,7.0,10940.0,104
5129,Sweeney todd in concert 2001 review,2020,episode,,,0
5130,Kung Fu Hustle,2004,movie,7.7,132600.0,99
5131,Mad Max Beyond Thunderdome,1985,movie,6.3,131168.0,107
5132,All About Ah-Long,1989,movie,7.3,1388.0,95
5133,The Seven Year Itch,1955,movie,7.1,36906.0,105
5134,Butterfly and Sword,1993,movie,6.0,1172.0,88
5135,Close Your Eyes,2002,movie,6.2,3091.0,108
5136,Inside Shock & Awe,2005,episode,7.0,15.0,0
5137,Samurai 7,2004,tv series,7.6,3974.0,25
5138,The Governess,1998,movie,6.3,2982.0,115
5139,The Sixth Man,1997,movie,5.7,5713.0,107
5140,Sweet Revenge,2001,movie,3.2,120.0,92
5141,Greg the Bunny,2002,tv series,7.6,1660.0,22
5142,Tonka Tough Truck Adventures: The Biggest Show on Wheels,2004,video movie,5.8,36.0,60
5143,Trial & Error,2017,tv series,8.0,5678.0,22
5144,The Adventures of Tom Thumb & Thumbelina,2002,video movie,5.1,629.0,75
5145,Common Wealth,2000,movie,7.3,11591.0,110
5146,"Never Mind the Sex Pistols, Here's the Bollocks",1978,movie,6.9,17.0,28
5147,Night of the Living Dummy III: Part 2,1997,episode,8.6,645.0,22
5148,Shaolin vs. Evil Dead,2004,movie,4.1,359.0,94
5149,The Kung Fu Scholar,1994,movie,5.9,153.0,94
5150,Rashomon,1950,movie,8.2,159899.0,88
5151,Bicycle Thieves,1948,movie,8.3,155521.0,89
5152,Highlander: Endgame,2000,movie,4.6,19980.0,87
5153,Tom and Jerry Blast Off to Mars!,2005,video movie,6.1,2001.0,74
5154,VeggieTales: King George and the Ducky,2000,video movie,7.4,561.0,30
5155,The Power of Kroll: Part Three,1979,episode,6.6,350.0,22
5156,Ali Zaoua: Prince of the Streets,2000,movie,7.4,2689.0,99
5157,Shag,1988,movie,6.4,4167.0,98
5158,Garden of Death,2000,episode,7.7,773.0,99
5159,Redneck Comedy Roundup,2005,video movie,5.4,58.0,72
5160,The Last Vampyre,1993,episode,6.4,1174.0,102
5161,Andy Warhol: The Complete Picture,2001,tv mini series,7.5,144.0,105
5162,Noam Chomsky: Distorted Morality,2003,video movie,7.8,501.0,55
5163,Shivers,1975,movie,6.4,19931.0,87
5164,Fifteen and Pregnant,1998,tv movie,5.7,2322.0,96
5165,L'Atalante,1934,movie,7.8,15221.0,89
5166,Soul Hunter,2020,movie,3.9,11.0,96
5167,Shepherd,1998,movie,2.8,491.0,90
5168,Crossworlds,1996,video movie,5.3,2868.0,90
5169,Quackser Fortune Has a Cousin in the Bronx,1970,movie,6.5,640.0,90
5170,Ed Sullivan Presents: The Beatles,2003,video movie,8.1,87.0,0
5171,The Twilight Zone,1959,tv series,9.0,75772.0,51
5172,Girls Kissing Girls,2016,episode,,,0
5173,The Adventures of Sharkboy and Lavagirl 3-D,2005,movie,3.7,35417.0,93
5174,The Millionairess,1960,movie,5.5,1769.0,90
5175,Little House on the Prairie,1974,tv series,7.5,20777.0,60
5176,Before Stonewall,1984,movie,7.6,1047.0,87
5177,Dream Theater: Metropolis 2000 - Scenes from New York,2001,video movie,9.1,538.0,190
5178,Variety Lights,1950,movie,7.1,3163.0,97
5179,"Upstairs, Downstairs",1971,tv series,8.4,2895.0,60
5180,Shaolin Invincible Sticks,1978,movie,5.9,89.0,90
5181,Slipknot: Welcome to Our Neighborhood,1999,video movie,7.4,394.0,28
5182,Last Stand at Saber River,1997,tv movie,6.9,1801.0,96
5183,The Doors Are Open,1968,tv movie,7.6,213.0,56
5184,The Three Stooges,2012,movie,5.1,30907.0,92
5185,Doing Hard Time,2004,video movie,4.9,1451.0,100
5186,The Tale of Tsar Saltan,1984,movie,7.4,730.0,53
5187,The First Emperor of China,1990,movie,6.3,93.0,42
5188,The Batman: Season 3 Unmasked,2007,video movie,,,8
5189,Slayers: The Book of Spells,1996,video movie,7.4,239.0,25
5190,The Grid,2004,tv mini series,6.7,789.0,266
5191,Ponette,1996,movie,7.5,4379.0,97
5192,Denise Austin Pilates for Every Body,2002,video movie,,,0
5193,Crocodile Dundee,1986,movie,6.6,98685.0,97
5194,Landspeed: CKY,1999,video movie,7.3,2456.0,66
5195,Body Chemistry 4: Full Exposure,1995,video movie,4.1,497.0,80
5196,Black Sabbath: The Last Supper,1999,video movie,7.9,459.0,106
5197,Woman in the Moon,1929,movie,7.3,3305.0,156
5198,The Twilight Zone,1959,tv series,9.0,75772.0,51
5199,"Your Favorite Jackass Steve-O: MTV, Family Acceptance, & Living Unhappy",2021,episode,,,79
5200,Sister Helen,2002,movie,7.7,267.0,90
5201,The Dukes of Hazzard/Saint Ralph/Broken Flowers,2006,episode,,,0
5202,Mimic: Sentinel,2003,video movie,4.3,3592.0,77
5203,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,movie,6.8,39093.0,88
5204,"Upstairs, Downstairs",1971,tv series,8.4,2895.0,60
5205,Let's Talk About GOOSEBUMPS' Scariest Episode,2018,episode,,,0
5206,WWE King of the Ring,2015,movie,6.3,30.0,0
5207,Prisoner of the Mountains,1996,movie,7.5,4392.0,99
5208,Bertie and Elizabeth,2002,tv movie,7.1,619.0,99
5209,Norah Jones & the Handsome Band: Live in 2004,2004,movie,7.9,78.0,72
5210,Sting of the Black Scorpion,2002,video movie,6.5,225.0,84
5211,Goosebumps: The Werewolf of Fever Swamp,2015,video movie,,,0
5212,One Million Years B.C.,1966,movie,5.7,8191.0,100
5213,The Cockettes,2002,movie,7.4,577.0,100
5214,Painted in Blood,2003,episode,8.1,715.0,99
5215,Wild Things: Diamonds in the Rough,2005,video movie,4.5,4812.0,87
5216,Curious,2006,video movie,2.0,54.0,74
5217,Mozart: Idomeneo,2017,episode,8.5,18.0,0
5218,Aerosmith: The Making of Pump,1990,video movie,7.1,138.0,110
5219,Marlene,2020,movie,8.8,19.0,110
5220,Don King: Only in America,1997,tv movie,7.0,1272.0,121
5221,The Absolutely Fabulous Show,2018,episode,,,22
5222,Vengo,2000,movie,7.3,2823.0,90
5223,The Looking Glass War,1970,movie,5.8,1117.0,108
5224,Strawberry Shortcake: Best Pets Yet,2004,video movie,6.1,50.0,64
5225,Punk'd Season 54,2009,episode,,,0
5226,16 December,2002,movie,6.9,1270.0,158
5227,"Mary, Mother of Jesus",1999,tv movie,5.5,1283.0,88
5228,Pucks & Polishes: Drunk Southpaw Season 1,2017,episode,,,0
5229,The Legend of Sleepy Hollow,1980,tv movie,6.3,679.0,104
5230,Back to the Future: The Game - 30th Anniversary Edition,2015,video game,8.0,633.0,0
5231,A Great Day of Discovery,2005,episode,,,0
5232,Zero Woman: The Accused,1997,video movie,4.3,71.0,77
5233,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,1993,tv movie,6.7,1339.0,99
5234,Fred Rogers: America's Favorite Neighbor,2004,tv movie,9.1,84.0,0
5235,Better Living Through Circuitry,1999,movie,7.0,437.0,85
5236,Bay of Angels,1963,movie,7.3,3418.0,90
5237,Besieged,1998,movie,6.9,4880.0,93
5238,No Direction Home: Bob Dylan,2005,episode,8.5,11608.0,359
5239,To Dance with the White Dog,1993,tv movie,7.5,556.0,100
5240,Campion I: Police at the Funeral 1,1989,episode,,,0
5241,French Part 1: The Standard Deviants,1999,video movie,6.4,8.0,0
5242,In the Presence of the Enemy,2003,episode,7.5,264.0,90
5243,Red Dwarf: The Tank - Series VIII,2006,video movie,8.3,30.0,88
5244,Cruel and Unusual,2001,movie,4.6,771.0,100
5245,Tenchi Muyô! Ryo-Ohki: Dai-5-ki #06,2021,video movie,,,0
5246,Bruce Springsteen & the E Street Band: Live in Barcelona,2003,video movie,8.9,430.0,180
5247,Music from Another Room,1998,movie,6.4,4996.0,104
5248,1000 Years of Popular Music,2006,video movie,7.9,33.0,107
5249,A Saintly Switch,1999,episode,5.4,405.0,88
5250,Todd McFarlane's Spawn,1997,tv series,8.1,8294.0,30
5251,Since Otar Left,2003,movie,7.5,2578.0,103
5252,Khartoum,1966,movie,6.8,7117.0,134
5253,Guide,1965,movie,8.4,7802.0,183
5254,Arthur's Quest,1999,tv movie,4.4,365.0,87
5255,Unsolved Mysteries,2020,tv series,7.3,8438.0,45
5256,Tail Lights Fade,1999,movie,4.8,799.0,87
5257,"The Adventures of Jimmy Neutron, Boy Genius",2002,tv series,6.7,19341.0,24
5258,Au Pair Girls,1972,movie,4.9,721.0,86
5259,Sally of the Sawdust,1925,movie,6.7,535.0,104
5260,Shriek If You Know What I Did Last Friday the Thirteenth,2000,video movie,4.0,10783.0,86
5261,Friday the 13th Part VII: The New Blood,1988,movie,5.3,34752.0,88
5262,Ayurveda: Art of Being,2001,movie,7.6,445.0,101
5263,The Edge of the World,1937,movie,7.3,1721.0,81
5264,Bravo Two Zero,1999,tv movie,6.8,3989.0,122
5265,Stomp Out Loud,1997,tv movie,8.2,595.0,48
5266,The Flock,2007,movie,5.7,11253.0,105
5267,The Reagans,2020,tv mini series,6.6,858.0,221
5268,Land of the Mammoth,2001,tv series,6.2,42.0,0
5269,Thakshak,1999,movie,5.9,629.0,163
5270,Iron Eagle on the Attack,1995,movie,3.3,1308.0,96
5271,Live from London: Justin Timberlake,2003,video movie,6.8,478.0,123
5272,5ive Days to Midnight,2004,tv mini series,6.7,2610.0,210
5273,And the Band Played On,1993,tv movie,7.8,9890.0,141
5274,Pinjar,2003,movie,8.0,2707.0,188
5275,Minsaara Kanavu,1997,movie,6.9,1140.0,153
5276,Iron Maiden: The Number of the Beast,2001,episode,8.2,493.0,80
5277,Las Vegas Season End Spectacular,2001,episode,4.8,12.0,22
5278,La répétition,2001,movie,6.0,1145.0,96
5279,But Forever in My Mind,1999,movie,6.2,1599.0,88
5280,Strictly Sinatra,2001,movie,5.8,536.0,97
5281,When Will I Be Loved,2004,movie,4.4,3342.0,81
5282,A Man Called Hero,1999,movie,5.8,1941.0,116
5283,The Howlin' Wolf Story,2003,movie,7.9,160.0,87
5284,Wind in the Willows,1988,tv movie,7.1,135.0,50
5285,Bad Girls 2 Special Edition,2003,episode,,,0
5286,Aria,1987,movie,5.7,2748.0,90
5287,Bulldog Drummond's Secret Police,1939,movie,6.3,534.0,56
5288,Heroic Duo,2003,movie,5.9,836.0,100
5289,Night Warriors: Darkstalkers' Revenge,1997,tv mini series,6.6,359.0,180
5290,Vaastav,2018,tv movie,,,114
5291,Cubbyhouse,2001,movie,3.6,898.0,89
5292,Kimera Vol. 1,2013,tv mini series,6.0,8.0,45
5293,ECW Wrestlepalooza,1998,movie,7.0,28.0,164
5294,America: A Tribute to Heroes,2001,movie,6.5,978.0,120
5295,The Two Doctors: Part One,1985,episode,7.5,432.0,45
5297,The Bad Batch Season One - Decommissioned Episode Review,2021,episode,,,0
5298,The Adventures of Paddington Bear,1997,tv series,7.1,451.0,23
5299,Love Comes Softly,2003,tv movie,7.3,6143.0,84
5300,The Rock - The People's Champ,2000,video movie,6.9,71.0,0
5301,Masti,2004,movie,6.2,6244.0,166
5302,Destiny in Space,1994,movie,6.9,345.0,40
5303,Stepmom,1998,movie,6.8,63853.0,125
5304,Bed & Board,1970,movie,7.5,9006.0,97
5305,The Rats,2002,tv movie,4.9,2083.0,94
5306,Senseless,1998,movie,6.1,16032.0,93
5307,The Peeping,2002,movie,4.8,202.0,93
5308,Hellraiser: Hellseeker,2002,video movie,5.0,11825.0,89
5309,The All New Adventures of Laurel & Hardy in 'for Love or Mummy',1999,movie,4.4,463.0,85
5310,Loaded Weapon 1,1993,movie,6.2,47292.0,84
5311,Marianne Faithfull: Dreaming My Dreams,2000,video movie,8.4,50.0,90
5312,The Keys to the House,2004,movie,7.1,2358.0,105
5313,The Twilight Zone,1959,tv series,9.0,75772.0,51
5314,Dig!,2004,movie,7.8,6165.0,107
5315,Stiff Upper Lips,1997,movie,6.3,1055.0,94
5316,Dracula A.D. 1972,1972,movie,6.0,6061.0,96
5317,Baseball,1994,tv mini series,9.2,4028.0,1140
5318,Invasion Earth,1998,tv mini series,6.3,608.0,50
5319,School of Rock,2003,movie,7.1,288994.0,109
5320,Revolutionary Girl Utena: The Movie,1999,movie,7.2,1447.0,85
5321,Jonathan,2018,movie,5.9,5867.0,100
5322,007: Nightfire,2002,video game,7.9,1348.0,0
5323,Fear X,2003,movie,6.0,7392.0,91
5324,Daphne in the Brilliant Blue,2004,tv series,6.7,73.0,25
5325,Lips of Blood,1975,movie,6.0,1513.0,88
5326,Stardom,2000,movie,5.6,1717.0,100
5327,Hard to Die,1990,movie,5.0,1198.0,77
5328,Bill Monroe: Father of Bluegrass Music,1993,tv movie,7.8,40.0,91
5329,"The Best of Chappelle's Show: Season 2, Volume 1",2004,episode,7.4,161.0,0
5330,The Androids of Tara: Part One,1978,episode,7.4,408.0,25
5331,Epoch: Evolution,2003,tv movie,4.3,642.0,94
5332,The Discreet Charm of the Bourgeoisie,1972,movie,7.9,40899.0,102
5333,800 Bullets,2002,movie,6.3,4395.0,124
5334,Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,2001,video movie,5.6,2059.0,74
5335,Little House on the Prairie,1974,tv series,7.5,20777.0,60
5336,WrestleMania XXX,2014,movie,8.0,1413.0,234
5337,Beethoven's 5th,2003,video movie,4.2,3206.0,91
5338,Bob & Rose,2001,tv series,7.7,478.0,47
5339,Contempt,1963,movie,7.6,30491.0,103
5340,Sgt. Kabukiman N.Y.P.D.,1990,movie,5.8,2894.0,105
5341,Live and Swingin': The Ultimate Rat Pack Collection,2003,video movie,8.8,75.0,0
5342,Tell Me No Lies,2001,movie,2.9,198.0,91
5343,Wuthering Heights,2009,tv mini series,7.6,8777.0,142
5344,Deathstalker 2,2014,episode,,,0
5345,Tess,1979,movie,7.3,16044.0,186
5346,Score: A Hockey Musical,2010,movie,4.6,678.0,93
