,title,year,kind,rating,vote,runtime
183,Jeans,1998,movie,6.5,3424.0,175
184,Third World Cop,1999,movie,6.3,434.0,98
185,The Little Girl Who Lives Down the Lane,1976,movie,7.0,14259.0,91
186,9 Dead Gay Guys,2002,movie,6.2,1493.0,83
187,Genesis: The Way We Walk - Live in Concert,1993,video movie,8.5,191.0,139
188,The Dick Francis Thriller: The Racing Game,1979,tv series,7.4,58.0,309
189,Buried in the Sand: The Deception of America,2004,video movie,4.6,75.0,90
190,Carmen,1984,movie,7.5,1532.0,152
191,Steal,2002,movie,5.5,5850.0,83
192,Mario and Luigi's Stupid and Dumb Adventures Season 2 Episode 6: Crazy Monkey,2011,episode,,,0
193,Heartbeat,1993,tv movie,5.7,370.0,100
194,Complete Collection,2009,episode,7.4,20.0,86
195,In the Realm of the Senses,1976,movie,6.6,19667.0,109
196,Pan Tadeusz: The Last Foray in Lithuania,1999,movie,6.0,3284.0,147
197,The Substitute: Failure Is Not an Option,2001,video movie,4.6,1144.0,91
198,Wings of Desire,1987,movie,8.0,67916.0,128
199,"Ebirah, Horror of the Deep",1966,movie,5.5,5148.0,87
200,Frank Lloyd Wright,1998,movie,7.8,809.0,146
201,Reign in Darkness,2002,video movie,2.4,417.0,90
202,George Lopez: Why You Crying?,2004,movie,6.8,56.0,79
203,Saturday Night Live: The Best of Dana Carvey,1998,movie,7.3,973.0,89
204,My Favorite Martian,1999,movie,5.1,13301.0,94
205,The 10th Kingdom,2000,tv mini series,8.3,18147.0,417
206,"Barney's Colorful World, Live!",2004,video movie,7.7,31.0,69
207,Chobits,2002,tv series,7.3,4265.0,0
208,Millennium Actress,2001,movie,7.9,25554.0,87
209,Les Misérables in Concert,1995,episode,9.1,2399.0,160
210,Tokyo's Sky City,2003,episode,7.7,22.0,43
211,Love Can Seriously Damage Your Health,1996,movie,6.5,1656.0,117
212,Beyblade: The Movie - Fierce Battle,2002,movie,5.6,385.0,74
213,Bean,1997,movie,6.5,101046.0,89
214,Just for Kicks,2003,movie,3.1,1357.0,92
215,Dark Shadows,2012,movie,6.2,254649.0,113
216,Rabbit-Proof Fence,2002,movie,7.4,28156.0,94
217,The Inner Tour,2001,movie,7.6,120.0,97
218,The Making of Fanny and Alexander,1984,movie,7.6,906.0,110
219,Jimmy Buffett: Mini Matinee #1,2003,video movie,,,28
220,Isaac Stern: Life's Virtuoso,2000,episode,7.2,67.0,60
221,Batman: The Animated Series,1992,tv series,9.0,93363.0,23
222,Xena Warrior Princess: The Final Season,2005,video movie,8.1,121.0,31
223,Public Policy a miniseries,2021,tv mini series,,,20
224,Pink Narcissus,1971,movie,6.7,1364.0,65
225,Nightwalker: Midnight Detective,1998,tv series,7.1,186.0,25
226,The Twilight Zone,1959,tv series,9.0,75773.0,51
227,The Return of Ruben Blades,1985,movie,7.6,23.0,82
228,Coolie No. 1,2020,movie,3.4,72024.0,134
229,"Doogie Howser, M.D.",1989,tv series,6.5,8365.0,30
230,The Matrix Revolutions,2003,movie,6.8,466400.0,129
231,Princess Mononoke,1997,movie,8.4,364432.0,134
232,The Legend of 1900,1998,movie,8.1,61463.0,169
233,Where's God When I'm S-Scared??,1994,episode,,,0
234,George Carlin: Personal Favorites,1997,movie,8.3,868.0,60
235,George Carlin: What Am I Doing in New Jersey?,1988,movie,8.2,1943.0,61
236,Building the Great Pyramid,2002,tv movie,7.1,165.0,58
237,Jewels,1992,tv mini series,7.0,521.0,241
238,The Avengers,2012,movie,8.0,1307234.0,143
239,His Secret Life,2001,movie,7.3,8963.0,106
240,The Passion of Ayn Rand,1999,tv movie,5.9,1567.0,104
241,Mission Kashmir,2000,movie,6.7,6665.0,154
242,Primus Hallucino-Genetics Live 2004,2004,video movie,8.4,29.0,155
243,Broadway's Lost Treasures,2003,episode,8.0,114.0,110
244,Mitch Hedberg: Mitch All Together,2003,movie,8.7,81.0,0
245,The Twilight Zone,1959,tv series,9.0,75773.0,51
246,Nature Unleashed: Volcano,2005,video movie,3.5,464.0,90
247,Butterfly Kiss,1995,movie,6.3,1958.0,88
248,Santana: Supernatural Live,2000,video movie,8.0,184.0,88
249,Avia Vampire Hunter,2005,video movie,2.2,75.0,83
250,The Prime of Miss Jean Brodie,1969,movie,7.6,8868.0,116
251,From Mao to Mozart: Isaac Stern in China,1979,movie,7.6,450.0,84
252,E's Otherwise,2003,tv series,6.1,76.0,25
253,Movie-Wheels Presents Pat Sullivan's Felix the Cat,1960,video movie,,,8
254,Love Songs,2007,movie,7.1,9435.0,91
255,Summer of the Monkeys,1998,movie,6.3,559.0,101
256,Young Einstein,1988,movie,5.2,8667.0,91
258,Here is Greenwood,2008,tv mini series,,,0
259,A Crime of Passion,2003,tv movie,5.1,283.0,0
260,"Rumpole of the Bailey, Series I: Rumpole and the Married Lady",1980,episode,,,0
261,Roughnecks: The Starship Troopers Chronicles,1999,tv series,7.5,2029.0,0
262,Bob the Builder: The Great Race/Scoop the Disco Digger,2004,video movie,,,126
263,The Strip Game,2005,video movie,5.5,86.0,72
264,Rangeela,1995,movie,7.5,9557.0,142
265,A Morbid Taste for Bones,1996,episode,8.1,190.0,76
266,New Waterford Girl,1999,movie,6.9,1777.0,97
267,Omar huffs gasoline and watches Star Trek Enterprise,2020,episode,,,0
268,High and Low,1963,movie,8.4,39523.0,143
269,Bloody Mallory,2002,movie,4.5,1149.0,94
270,Tom Petty and the Heartbreakers: Live at the Olympic - The Last DJ and More,2003,video movie,8.8,30.0,0
271,VS. Knight Ramune & 40 Fresh,1997,tv series,6.5,37.0,180
272,Winners & Sinners,1983,movie,6.7,4735.0,108
273,Battalion of Seaforth Highlanders at the Dublin Horse Show,1905,movie,,,0
274,NBA Regular Season 2014/2015,2014,tv series,6.9,26.0,0
275,The Twilight Zone,1959,tv series,9.0,75773.0,51
276,The Autobiography of Miss Jane Pittman,1974,tv movie,7.9,2000.0,110
277,Black Jack: The Movie,1996,movie,6.8,941.0,90
278,"Jo Jo Dancer, Your Life Is Calling",1986,movie,6.4,1739.0,97
279,Dead Man's Curve,1998,movie,5.9,5760.0,91
280,Shanghai Triad,1995,movie,7.1,5444.0,108
281,The Scarlet and the Black,1983,tv movie,7.6,3019.0,143
282,Blue Planet II,2017,tv mini series,9.3,36474.0,364
283,Northanger Abbey,2007,tv movie,7.2,14514.0,84
284,Michael McDonald: A Gathering of Friends,2001,video movie,,,70
285,House of Whipcord,1974,movie,5.9,1536.0,102
286,Baby Genius: Mozart and Friends,2001,episode,,,33
287,I Dood It,1943,movie,6.3,596.0,102
288,The Brady Bunch Variety Hour,1976,tv series,3.8,406.0,60
289,My Wife and Kids,2001,tv series,6.9,26259.0,30
290,The Smiths: The Complete Picture,1992,video movie,7.8,213.0,50
291,Tokyo Raiders,2000,movie,5.8,2477.0,118
292,The Secrets of the Dead Sea Scrolls,2013,video movie,6.9,40.0,60
293,Quatermass and the Pit,1967,movie,7.0,9899.0,97
294,Jimmy Neutron: Attack of the Twonkies,2005,tv movie,6.8,184.0,44
295,The Offspring: Americana,1998,video movie,,,60
296,Spooks and Creeps,2004,video movie,4.3,6.0,93
297,Torture Garden,1967,movie,6.1,2702.0,93
298,Bad Boy Bubby,1993,movie,7.4,13279.0,114
299,The Leisure Hive: Part Two,1980,episode,6.5,361.0,21
300,Hot Wheels Highway 35 World Race,2003,tv series,7.3,409.0,0
301,My Mother Likes Women,2002,movie,6.2,1615.0,96
302,The Underground Comedy Movie,1999,movie,2.0,2655.0,88
303,Beware of a Holy Whore,1971,movie,6.8,2192.0,103
304,Rescue Heroes: The Movie,2003,movie,6.0,155.0,83
305,Baazigar,1993,movie,7.7,27102.0,175
306,Christmas with the Andersons,2016,movie,4.3,390.0,90
307,Air Force One,2002,tv movie,7.0,152.0,57
308,Jim Brown: All American,2002,tv movie,5.7,354.0,140
309,To Catch a Killer,1992,tv mini series,7.4,2535.0,182
310,The Hellcats,1990,episode,7.3,449.0,97
311,Cheyenne Warrior,1994,tv movie,6.6,468.0,90
312,Dear Frankie,2004,movie,7.7,21534.0,105
313,John Mayall & the Bluesbreakers and Friends: 70th Birthday Concert,2003,video movie,7.7,29.0,159
314,The Ricky Martin Video Collection,1999,video movie,5.8,124.0,40
315,American Tragedy,2019,movie,6.4,333.0,80
316,Return of the Chinese Boxer,1977,movie,6.5,232.0,98
317,Battalion of Seaforth Highlanders at the Dublin Horse Show,1905,movie,,,0
318,Who Is Cletis Tout?,2001,movie,6.4,4106.0,92
319,Gilligan's Island: Season 2 Introduction,2005,video movie,,,6
320,Saturday Night Live: The Best of Will Ferrell,2002,movie,7.9,2581.0,72
321,Real Kung Fu of Shaolin,1980,movie,4.6,17.0,87
322,Ruby Sparks,2012,movie,7.2,98220.0,104
323,The Winter People,2003,movie,7.2,33.0,14
324,"He Said, She Said",1991,movie,5.7,6796.0,115
325,In the Mood for Love,2000,movie,8.1,136327.0,98
326,A Blonde in Love,1965,movie,7.6,8157.0,88
327,R.E.M.: Pop Screen,1990,video movie,7.1,34.0,32
328,Better Than Sex,2000,movie,6.4,2176.0,95
329,The Last Outpost,1951,movie,5.9,491.0,89
330,Visitors of the Night,1995,tv movie,5.0,508.0,98
331,Numbered Days,1994,movie,6.6,1961.0,93
332,Peter Jennings Reporting: The Kennedy Assassination - Beyond Conspiracy,2003,tv movie,6.8,248.0,86
333,The History Channel Presents: The Alamo,2003,video movie,,,240
334,Baby Da Vinci,2004,episode,,,30
335,The Hand that Rocks the Cradle,1992,movie,6.6,41054.0,110
336,When Dinosaurs Roamed America,2001,tv movie,7.6,444.0,90
337,Coma,1978,movie,6.9,18314.0,113
338,Daud,2002,tv series,,,0
